,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,0,3,M,22.0,1,0,7.25,S,Third,man,True,C,Southampton,no,False
1,1,1,F,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
2,1,3,F,26.0,0,0,7.925,S,Third,woman,False,C,Southampton,yes,True
3,1,1,F,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
4,0,3,M,35.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
5,0,3,M,28.0,0,0,8.4583,Q,Third,man,True,C,Queenstown,no,True
6,0,1,M,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True
7,0,3,M,2.0,3,1,21.075,S,Third,child,False,C,Southampton,no,False
8,1,3,F,27.0,0,2,11.1333,S,Third,woman,False,C,Southampton,yes,False
9,1,2,F,14.0,1,0,30.0708,C,Second,child,False,C,Cherbourg,yes,False
10,1,3,F,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False
11,1,1,F,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
12,0,3,M,20.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
13,0,3,M,39.0,1,5,31.275,S,Third,man,True,C,Southampton,no,False
14,0,3,F,14.0,0,0,7.8542,S,Third,child,False,C,Southampton,no,True
15,1,2,F,55.0,0,0,16.0,S,Second,woman,False,C,Southampton,yes,True
16,0,3,M,2.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False
17,1,2,M,28.0,0,0,13.0,S,Second,man,True,C,Southampton,yes,True
18,0,3,F,31.0,1,0,18.0,S,Third,woman,False,C,Southampton,no,False
19,1,3,F,28.0,0,0,7.225,C,Third,woman,False,C,Cherbourg,yes,True
20,0,2,M,35.0,0,0,26.0,S,Second,man,True,C,Southampton,no,True
21,1,2,M,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True
22,1,3,F,15.0,0,0,8.0292,Q,Third,child,False,C,Queenstown,yes,True
23,1,1,M,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True
24,0,3,F,8.0,3,1,21.075,S,Third,child,False,C,Southampton,no,False
25,1,3,F,38.0,1,5,31.3875,S,Third,woman,False,C,Southampton,yes,False
26,0,3,M,28.0,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True
27,0,1,M,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False
28,1,3,F,28.0,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True
29,0,3,M,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
30,0,1,M,40.0,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True
31,1,1,F,28.0,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False
32,1,3,F,28.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True
33,0,2,M,66.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
34,0,1,M,28.0,1,0,82.1708,C,First,man,True,C,Cherbourg,no,False
35,0,1,M,42.0,1,0,52.0,S,First,man,True,C,Southampton,no,False
36,1,3,M,28.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,yes,True
37,0,3,M,21.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
38,0,3,F,18.0,2,0,18.0,S,Third,woman,False,C,Southampton,no,False
39,1,3,F,14.0,1,0,11.2417,C,Third,child,False,C,Cherbourg,yes,False
40,0,3,F,40.0,1,0,9.475,S,Third,woman,False,C,Southampton,no,False
41,0,2,F,27.0,1,0,21.0,S,Second,woman,False,C,Southampton,no,False
42,0,3,M,28.0,0,0,7.8958,C,Third,man,True,C,Cherbourg,no,True
43,1,2,F,3.0,1,2,41.5792,C,Second,child,False,C,Cherbourg,yes,False
44,1,3,F,19.0,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True
45,0,3,M,28.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
46,0,3,M,28.0,1,0,15.5,Q,Third,man,True,C,Queenstown,no,False
47,0,3,M,28.0,2,0,21.6792,C,Third,man,True,C,Cherbourg,no,False
48,0,3,F,18.0,1,0,17.8,S,Third,woman,False,C,Southampton,no,False
49,0,3,M,7.0,4,1,39.6875,S,Third,child,False,C,Southampton,no,False
50,0,3,M,21.0,0,0,7.8,S,Third,man,True,C,Southampton,no,True
51,1,1,F,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False
52,1,2,F,29.0,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False
53,0,1,M,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False
54,1,1,M,28.0,0,0,35.5,S,First,man,True,C,Southampton,yes,True
55,1,2,F,21.0,0,0,10.5,S,Second,woman,False,C,Southampton,yes,True
56,0,3,M,28.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True
57,1,2,F,5.0,1,2,27.75,S,Second,child,False,C,Southampton,yes,False
58,0,3,M,11.0,5,2,46.9,S,Third,child,False,C,Southampton,no,False
59,0,3,M,22.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True
60,1,1,F,38.0,0,0,80.0,S,First,woman,False,B,Southampton,yes,True
61,0,1,M,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False
62,0,3,M,4.0,3,2,27.9,S,Third,child,False,C,Southampton,no,False
63,0,1,M,28.0,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True
64,1,3,M,28.0,1,1,15.2458,C,Third,man,True,C,Cherbourg,yes,False
65,1,2,F,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
66,0,3,M,19.0,0,0,8.1583,S,Third,man,True,C,Southampton,no,True
67,1,3,F,17.0,4,2,7.925,S,Third,woman,False,C,Southampton,yes,False
68,0,3,M,26.0,2,0,8.6625,S,Third,man,True,C,Southampton,no,False
69,0,2,M,32.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True
70,0,3,F,16.0,5,2,46.9,S,Third,woman,False,C,Southampton,no,False
71,0,2,M,21.0,0,0,73.5,S,Second,man,True,C,Southampton,no,True
72,0,3,M,26.0,1,0,14.4542,C,Third,man,True,C,Cherbourg,no,False
73,1,3,M,32.0,0,0,56.4958,S,Third,man,True,C,Southampton,yes,True
74,0,3,M,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
75,1,2,M,1.0,0,2,29.0,S,Second,child,False,C,Southampton,yes,False
76,1,3,F,30.0,0,0,12.475,S,Third,woman,False,C,Southampton,yes,True
77,0,3,M,22.0,0,0,9.0,S,Third,man,True,C,Southampton,no,True
78,1,3,M,29.0,0,0,9.5,S,Third,man,True,C,Southampton,yes,True
79,1,3,F,28.0,0,0,7.7875,Q,Third,woman,False,C,Queenstown,yes,True
80,0,1,M,28.0,0,0,47.1,S,First,man,True,C,Southampton,no,True
81,1,2,F,17.0,0,0,10.5,S,Second,woman,False,C,Southampton,yes,True
82,1,3,F,33.0,3,0,15.85,S,Third,woman,False,C,Southampton,yes,False
83,0,3,M,16.0,1,3,34.375,S,Third,man,True,C,Southampton,no,False
84,1,1,F,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
85,0,3,M,24.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
86,0,3,M,29.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
87,0,3,M,20.0,0,0,7.8542,S,Third,man,True,C,Southampton,no,True
88,0,1,M,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False
89,0,3,M,26.0,1,2,20.575,S,Third,man,True,C,Southampton,no,False
90,0,3,M,59.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True
91,0,1,M,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True
92,1,1,M,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False
93,1,2,F,34.0,0,1,23.0,S,Second,woman,False,C,Southampton,yes,False
94,0,2,M,34.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False
95,0,3,F,28.0,0,0,7.8958,S,Third,woman,False,C,Southampton,no,True
96,0,1,M,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
97,0,3,M,33.0,0,0,8.6542,S,Third,man,True,C,Southampton,no,True
98,0,3,M,37.0,2,0,7.925,S,Third,man,True,C,Southampton,no,False
99,1,3,F,21.0,0,0,7.65,S,Third,woman,False,C,Southampton,yes,True
100,1,3,M,28.0,0,0,7.775,S,Third,man,True,C,Southampton,yes,True
101,0,3,M,38.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True
102,1,3,F,28.0,1,0,24.15,Q,Third,woman,False,C,Queenstown,yes,False
103,0,1,M,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True
104,0,3,F,14.0,1,0,14.4542,C,Third,child,False,C,Cherbourg,no,False
105,0,3,M,22.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
106,0,3,F,20.0,1,0,9.825,S,Third,woman,False,C,Southampton,no,False
107,0,3,F,17.0,0,0,14.4583,C,Third,woman,False,C,Cherbourg,no,True
108,0,3,M,21.0,0,0,7.925,S,Third,man,True,C,Southampton,no,True
109,0,3,M,70.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True
110,0,2,M,29.0,1,0,21.0,S,Second,man,True,C,Southampton,no,False
111,0,1,M,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False
112,0,3,F,2.0,4,2,31.275,S,Third,child,False,C,Southampton,no,False
113,0,2,M,21.0,2,0,73.5,S,Second,man,True,C,Southampton,no,False
114,0,2,M,32.0,1,0,30.0708,C,Second,man,True,C,Cherbourg,no,False
115,1,2,F,32.0,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
116,0,1,M,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
117,1,3,M,12.0,1,0,11.2417,C,Third,child,False,C,Cherbourg,yes,False
118,0,3,M,28.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True
119,1,3,M,24.0,0,0,7.1417,S,Third,man,True,C,Southampton,yes,True
120,1,3,F,28.0,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False
121,0,3,M,45.0,0,0,6.975,S,Third,man,True,C,Southampton,no,True
122,0,3,M,33.0,0,0,7.8958,C,Third,man,True,C,Cherbourg,no,True
123,0,3,M,20.0,0,0,7.05,S,Third,man,True,C,Southampton,no,True
124,0,3,F,47.0,1,0,14.5,S,Third,woman,False,C,Southampton,no,False
125,0,2,M,25.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
126,0,2,M,23.0,0,0,15.0458,C,Second,man,True,C,Cherbourg,no,True
127,1,1,F,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False
128,0,1,M,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False
129,0,3,M,16.0,0,0,9.2167,S,Third,man,True,C,Southampton,no,True
130,0,1,M,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True
131,0,3,F,28.0,0,2,15.2458,C,Third,woman,False,C,Cherbourg,no,False
132,1,3,F,22.0,0,0,7.75,S,Third,woman,False,C,Southampton,yes,True
133,1,3,F,24.0,1,0,15.85,S,Third,woman,False,C,Southampton,yes,False
134,0,3,M,19.0,0,0,6.75,Q,Third,man,True,C,Queenstown,no,True
135,0,2,M,18.0,0,0,11.5,S,Second,man,True,C,Southampton,no,True
136,0,2,M,19.0,1,1,36.75,S,Second,man,True,C,Southampton,no,False
137,1,3,M,27.0,0,0,7.7958,S,Third,man,True,C,Southampton,yes,True
138,0,3,F,9.0,2,2,34.375,S,Third,child,False,C,Southampton,no,False
139,0,2,M,36.0,0,2,26.0,S,Second,man,True,F,Southampton,no,False
140,0,2,M,42.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True
141,0,2,M,51.0,0,0,12.525,S,Second,man,True,C,Southampton,no,True
142,1,1,F,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False
143,0,3,M,56.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True
144,0,3,M,40.0,0,2,14.5,S,Third,man,True,C,Southampton,no,False
145,0,3,M,28.0,0,0,7.3125,S,Third,man,True,C,Southampton,no,True
146,0,1,M,51.0,0,1,61.3792,C,First,man,True,C,Cherbourg,no,False
